DATE,PCU33231233231212
2018-01-01,113.0
2018-02-01,114.3
2018-03-01,119.6
2018-04-01,120.0
2018-05-01,124.8
2018-06-01,124.8
2018-07-01,125.1
2018-08-01,125.1
2018-09-01,125.1
2018-10-01,125.3
2018-11-01,125.2
2018-12-01,125.1
2019-01-01,122.1
2019-02-01,120.8
2019-03-01,119.5
2019-04-01,119.5
2019-05-01,119.5
2019-06-01,119.6
2019-07-01,119.9
2019-08-01,119.9
2019-09-01,119.9
2019-10-01,120.1
2019-11-01,120.1
2019-12-01,120.1
2020-01-01,120.2
2020-02-01,120.2
2020-03-01,120.2
2020-04-01,119.9
2020-05-01,119.9
2020-06-01,119.9
2020-07-01,119.9
2020-08-01,119.9
2020-09-01,119.9
2020-10-01,119.9
2020-11-01,119.9
2020-12-01,120.5
2021-01-01,120.5
2021-02-01,123.5
2021-03-01,133.5
2021-04-01,141.0
2021-05-01,155.3
2021-06-01,166.9
2021-07-01,174.577
2021-08-01,184.883
2021-09-01,190.859
2021-10-01,190.671
2021-11-01,192.779
2021-12-01,194.801
2022-01-01,199.049
2022-02-01,195.118
2022-03-01,203.308
2022-04-01,213.644
2022-05-01,214.183
2022-06-01,216.121
2022-07-01,211.950
2022-08-01,208.440
2022-09-01,206.271
2022-10-01,202.390
2022-11-01,200.758
2022-12-01,197.618
2023-01-01,194.631
