DATE,PCU33231233231212
2011-06-01,100.0
2011-07-01,101.2
2011-08-01,100.7
2011-09-01,100.6
2011-10-01,100.9
2011-11-01,102.6
2011-12-01,102.7
2012-01-01,103.1
2012-02-01,104.4
2012-03-01,105.4
2012-04-01,105.7
2012-05-01,106.0
2012-06-01,106.3
2012-07-01,104.4
2012-08-01,104.3
2012-09-01,105.2
2012-10-01,104.6
2012-11-01,104.3
2012-12-01,105.4
2013-01-01,105.7
2013-02-01,105.0
2013-03-01,104.8
2013-04-01,105.1
2013-05-01,104.5
2013-06-01,104.5
2013-07-01,105.2
2013-08-01,105.3
2013-09-01,105.1
2013-10-01,105.1
2013-11-01,105.7
2013-12-01,106.3
2014-01-01,106.0
2014-02-01,106.3
2014-03-01,107.0
2014-04-01,107.2
2014-05-01,107.6
2014-06-01,108.3
2014-07-01,108.2
2014-08-01,108.7
2014-09-01,108.7
2014-10-01,108.7
2014-11-01,108.7
2014-12-01,108.7
2015-01-01,108.9
2015-02-01,108.7
2015-03-01,108.7
2015-04-01,109.2
2015-05-01,109.6
2015-06-01,110.9
2015-07-01,111.1
2015-08-01,111.3
2015-09-01,109.6
2015-10-01,109.4
2015-11-01,109.3
2015-12-01,109.2
2016-01-01,108.9
2016-02-01,108.9
2016-03-01,108.9
2016-04-01,110.3
2016-05-01,111.3
2016-06-01,111.3
2016-07-01,111.9
2016-08-01,112.0
2016-09-01,111.5
2016-10-01,111.7
2016-11-01,111.7
2016-12-01,113.1
2017-01-01,113.1
2017-02-01,113.9
2017-03-01,113.9
2017-04-01,116.8
2017-05-01,116.8
2017-06-01,116.8
2017-07-01,110.8
2017-08-01,110.8
2017-09-01,111.4
2017-10-01,111.5
2017-11-01,111.5
2017-12-01,111.5
2018-01-01,113.0
2018-02-01,114.3
2018-03-01,119.6
2018-04-01,120.0
2018-05-01,124.8
2018-06-01,124.8
2018-07-01,125.1
2018-08-01,125.1
2018-09-01,125.1
2018-10-01,125.3
2018-11-01,125.2
2018-12-01,125.1
2019-01-01,122.1
2019-02-01,120.8
2019-03-01,119.5
2019-04-01,119.5
2019-05-01,119.5
2019-06-01,119.6
2019-07-01,119.9
2019-08-01,119.9
2019-09-01,119.9
2019-10-01,120.1
2019-11-01,120.1
2019-12-01,120.1
2020-01-01,120.2
2020-02-01,120.2
2020-03-01,120.2
2020-04-01,119.9
2020-05-01,119.9
2020-06-01,119.9
2020-07-01,119.9
2020-08-01,119.9
2020-09-01,119.9
2020-10-01,119.9
2020-11-01,119.9
2020-12-01,120.5
2021-01-01,120.5
2021-02-01,123.5
2021-03-01,133.5
2021-04-01,141.0
2021-05-01,155.3
2021-06-01,166.9
2021-07-01,174.577
2021-08-01,184.883
2021-09-01,190.859
2021-10-01,190.671
2021-11-01,192.779
2021-12-01,194.801
2022-01-01,199.049
2022-02-01,195.118
2022-03-01,203.308
2022-04-01,213.644
2022-05-01,214.183
2022-06-01,216.121
2022-07-01,211.950
2022-08-01,208.440
2022-09-01,206.271
2022-10-01,202.390
2022-11-01,200.758
2022-12-01,197.618
2023-01-01,194.631
