DATE,WPU101
2015-01-01,222.4
2015-02-01,209.2
2015-03-01,205.2
2015-04-01,200.9
2015-05-01,198.3
2015-06-01,200.3
2015-07-01,198.2
2015-08-01,193.0
2015-09-01,190.5
2015-10-01,181.5
2015-11-01,175.2
2015-12-01,172.2
2016-01-01,173.1
2016-02-01,172.7
2016-03-01,175.4
2016-04-01,184.3
2016-05-01,192.9
2016-06-01,193.4
2016-07-01,193.6
2016-08-01,195.0
2016-09-01,191.2
2016-10-01,186.4
2016-11-01,189.3
2016-12-01,196.4
2017-01-01,204.8
2017-02-01,207.3
2017-03-01,213.3
2017-04-01,212.0
2017-05-01,213.7
2017-06-01,213.9
2017-07-01,215.9
2017-08-01,214.1
2017-09-01,215.7
2017-10-01,211.5
2017-11-01,208.8
2017-12-01,212.9
2018-01-01,217.6
2018-02-01,222.1
2018-03-01,227.5
2018-04-01,234.1
2018-05-01,239.0
2018-06-01,242.5
2018-07-01,244.3
2018-08-01,244.8
2018-09-01,244.7
2018-10-01,244.1
2018-11-01,246.7
2018-12-01,245.8
2019-01-01,240.4
2019-02-01,235.7
2019-03-01,238.6
2019-04-01,234.0
2019-05-01,229.8
2019-06-01,222.5
2019-07-01,216.9
2019-08-01,217.8
2019-09-01,212.3
2019-10-01,206.4
2019-11-01,205.1
2019-12-01,207.3
2020-01-01,212.1
2020-02-01,209.1
2020-03-01,210.6
2020-04-01,204.7
2020-05-01,203.5
2020-06-01,203.5
2020-07-01,200.9
2020-08-01,200.4
2020-09-01,205.2
2020-10-01,207.4
2020-11-01,211.1
2020-12-01,230.7
2021-01-01,250.8
2021-02-01,260.5
2021-03-01,292.2
2021-04-01,321.3
2021-05-01,332.6
2021-06-01,354.9
2021-07-01,382.821
2021-08-01,395.232
2021-09-01,405.663
2021-10-01,417.852
2021-11-01,433.525
2021-12-01,433.252
2022-01-01,423.397
2022-02-01,394.696
2022-03-01,397.639
2022-04-01,405.655
2022-05-01,424.725
2022-06-01,412.324
2022-07-01,393.040
2022-08-01,374.122
2022-09-01,353.075
2022-10-01,336.866
2022-11-01,328.074
2022-12-01,324.347
2023-01-01,326.060
