Date,Open,High,Low,Close*,Adj Close**,Volume
3/1/23,1002,1065,1002,1050,1050,219
2/1/23,786,1070,785,1054,1054,3237
12/1/22,656,750,650,744,744,1750
10/31/22,713,713,645,655,655,2340
9/30/22,770,790,682,713,713,3085
8/31/22,772,820,765,776,776,2856
7/31/22,848,848,772,780,780,2949
6/30/22,930,930,842,855,855,2628
5/31/22,1208,1208,930,930,930,1224
3/31/22,1541,1570,1376,1400,1400,3363
3/1/22,1065,1228,1035,1129,1129,2561
2/1/22,1175,1200,990,1056,1056,3370
1/1/22,1435,1440,1150,1165,1165,4013
12/1/21,1590,1649,1426,1435,1435,3225
10/31/21,1789,1815,1589,1610,1610,2011
9/30/21,1911,1930,1775,1803,1803,1754
8/31/21,1945,1945,1895,1900,1900,1049
6/30/21,1808,1900,1775,1888,1888,2228
5/31/21,1665,1815,1630,1810,1810,1012
4/30/21,1492,1665,1485,1665,1665,769
3/31/21,1268,1505,1268,1505,1505,1355
3/1/21,1252,1295,1235,1268,1268,903
2/1/21,1155,1265,1140,1264,1264,743
1/1/21,1020,1156,1015,1149,1149,1847
12/1/20,805,889,800,889,889,1661
9/30/20,549,702,549,699,699,750
8/31/20,521,552,521,549,549,851
7/31/20,483,519,447,518,518,1140
6/30/20,489,492,472,482,482,1382
5/31/20,512,518,485,488,488,2102
4/30/20,471,516,468,513,513,1842
3/31/20,522,522,505,515,515,1055
2/1/20,578,590,571,590,590,410
1/1/20,586,592,577,578,578,821
10/31/19,490,502,490,493,493,259
9/30/19,529,529,495,495,495,789
7/31/19,602,605,560,560,560,330
6/30/19,540,550,520,543,543,831
5/31/19,578,582,533,536,536,851
4/30/19,654,654,584,584,584,1522
3/31/19,693,699,649,654,654,2812
3/1/19,710,710,697,697,697,1089
2/1/19,699,699,675,678,678,721
1/1/19,723,726,708,714,714,707
12/1/18,776,778,721,721,721,2184
10/31/18,827,828,770,771,771,1070
9/30/18,848,848,820,831,831,618
8/31/18,865,868,841,841,841,364
7/31/18,895,910,865,865,865,2008
5/31/18,922,926,890,904,904,443
4/30/18,869,885,852,880,880,465
3/1/18,795,840,794,830,830,575
2/1/18,726,752,714,740,740,456
1/1/18,660,679,660,679,679,393
